geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.54929200000000,-46.633559478233800,sao paulo,SP
1001,-23.550497706907500,-46.63433817805410,sao paulo,SP
1001,-23.55064182209020,-46.634409790322500,sao paulo,SP
1001,-23.54969829946910,-46.63390859285010,sao paulo,SP
1001,-23.551426655288800,-46.63407394670790,sao paulo,SP
1001,-23.550497706907500,-46.63433817805410,sao paulo,SP
1001,-23.551336655288800,-46.63402699777830,sao paulo,SP
1001,-23.549779299469100,-46.6339571183853,são paulo,SP
1001,-23.551336655288800,-46.63402699777830,sao paulo,SP
